**********************Check Process Result(CheckBrokenLinkByFile)**********************
1 : articles\logic-apps\TOC.yml
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-overview.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\quickstart-create-first-logic-app-workflow.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\quickstart-create-logic-apps-with-visual-studio.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\quickstart-create-logic-apps-visual-studio-code.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\tutorial-process-email-attachments-workflow.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\connectors\apis-list.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\concepts-schedule-automated-recurring-tasks-workflows.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-serverless-overview.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-create-logic-apps-from-templates.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-control-flow-conditional-statement.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-control-flow-switch-statement.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-control-flow-branches.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-control-flow-loops.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-create-variables-store-values.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-perform-data-operations.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-azure-functions.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-scenario-function-sb-trigger.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-http-endpoint.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-exceed-default-page-size-with-pagination.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-batch-process-send-receive-messages.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-author-definitions.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-content-type.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-exception-handling.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-handle-large-messages.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-securing-a-logic-app.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\custom-connector-overview.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-create-api-app.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-custom-api-authentication.md : correct.
M:\gitrep\mc-docs-pr.zh-cn.rockboyfor.sxs\articles\logic-apps\logic-apps-custom-api-host-deploy-call.md : correct.
