**********************Check Process Result(CheckImageByService)**********************
Index	Service	File Path	Total Screenshots	Adapted Screenshots
1	analysis-services	articles/analysis-services/analysis-services-addservprinc-admins.md	2	0
2	analysis-services	articles/analysis-services/analysis-services-alias.md	2	0
3	analysis-services	articles/analysis-services/analysis-services-async-refresh.md	7	0
4	analysis-services	articles/analysis-services/analysis-services-backup.md	6	0
5	analysis-services	articles/analysis-services/analysis-services-compat-level.md	1	0
6	analysis-services	articles/analysis-services/analysis-services-connect-excel.md	2	0
7	analysis-services	articles/analysis-services/analysis-services-create-model-portal.md	6	0
8	analysis-services	articles/analysis-services/analysis-services-create-sample-model.md	5	0
9	analysis-services	articles/analysis-services/analysis-services-create-server.md	2	0
10	analysis-services	articles/analysis-services/analysis-services-data-providers.md	1	0
11	analysis-services	articles/analysis-services/analysis-services-database-users.md	2	0
12	analysis-services	articles/analysis-services/analysis-services-deploy.md	4	0
13	analysis-services	articles/analysis-services/analysis-services-gateway.md	1	0
14	analysis-services	articles/analysis-services/analysis-services-gateway-install.md	10	0
15	analysis-services	articles/analysis-services/analysis-services-import-pbix.md	4	0
16	analysis-services	articles/analysis-services/analysis-services-logging.md	3	0
17	analysis-services	articles/analysis-services/analysis-services-manage.md	3	0
18	analysis-services	articles/analysis-services/analysis-services-manage-users.md	2	0
19	analysis-services	articles/analysis-services/analysis-services-monitor.md	2	0
20	analysis-services	articles/analysis-services/analysis-services-overview.md	6	0
21	analysis-services	articles/analysis-services/analysis-services-qs-firewall.md	1	0
22	analysis-services	articles/analysis-services/analysis-services-scale-out.md	3	0
23	analysis-services	articles/analysis-services/analysis-services-server-admins.md	2	0
24	analysis-services	articles/analysis-services/analysis-services-vnet-gateway.md	1	0
25	analysis-services	articles/analysis-services/index.md	3	0
26	analysis-services	articles/analysis-services/tutorials/analysis-services-tutorial-pbid.md	6	0
27	analysis-services	articles/analysis-services/tutorials/analysis-services-tutorial-roles.md	11	0
28	azure-resource-manager	articles/azure-resource-manager/best-practices-resource-manager-security.md	2	0
29	azure-resource-manager	articles/azure-resource-manager/index.md	10	0
30	azure-resource-manager	articles/azure-resource-manager/managed-application-author-marketplace.md	3	0
31	azure-resource-manager	articles/azure-resource-manager/managed-application-consumption.md	7	0
32	azure-resource-manager	articles/azure-resource-manager/management-groups.md	14	1
33	azure-resource-manager	articles/azure-resource-manager/powershell-azure-resource-manager.md	2	0
34	azure-resource-manager	articles/azure-resource-manager/resource-group-audit.md	8	0
35	azure-resource-manager	articles/azure-resource-manager/resource-group-create-service-principal-portal.md	25	0
36	azure-resource-manager	articles/azure-resource-manager/resource-group-linked-templates.md	1	0
37	azure-resource-manager	articles/azure-resource-manager/resource-group-move-resources.md	4	0
38	azure-resource-manager	articles/azure-resource-manager/resource-group-overview.md	4	0
39	azure-resource-manager	articles/azure-resource-manager/resource-group-portal.md	18	0
40	azure-resource-manager	articles/azure-resource-manager/resource-group-template-deploy-portal.md	31	0
41	azure-resource-manager	articles/azure-resource-manager/resource-group-using-tags.md	1	0
42	azure-resource-manager	articles/azure-resource-manager/resource-manager-api-authentication.md	6	0
43	azure-resource-manager	articles/azure-resource-manager/resource-manager-common-deployment-errors.md	6	0
44	azure-resource-manager	articles/azure-resource-manager/resource-manager-deployment-model.md	2	0
45	azure-resource-manager	articles/azure-resource-manager/resource-manager-deployment-operations.md	6	0
46	azure-resource-manager	articles/azure-resource-manager/resource-manager-export-template.md	19	0
47	azure-resource-manager	articles/azure-resource-manager/resource-manager-keyvault-parameter.md	2	0
48	azure-resource-manager	articles/azure-resource-manager/resource-manager-not-found-errors.md	4	0
49	azure-resource-manager	articles/azure-resource-manager/resource-manager-policy-portal.md	10	0
50	azure-resource-manager	articles/azure-resource-manager/resource-manager-quickstart-create-templates-use-the-portal.md	8	3
51	azure-resource-manager	articles/azure-resource-manager/resource-manager-quickstart-create-templates-use-visual-studio-code.md	6	0
52	azure-resource-manager	articles/azure-resource-manager/resource-manager-quota-errors.md	5	0
53	azure-resource-manager	articles/azure-resource-manager/resource-manager-register-provider-errors.md	2	0
54	azure-resource-manager	articles/azure-resource-manager/resource-manager-sequential-loop.md	1	0
55	azure-resource-manager	articles/azure-resource-manager/resource-manager-sku-not-available-errors.md	1	0
56	azure-resource-manager	articles/azure-resource-manager/resource-manager-supported-services.md	10	0
57	azure-resource-manager	articles/azure-resource-manager/resource-manager-template-best-practices.md	1	0
58	azure-resource-manager	articles/azure-resource-manager/resource-manager-tutorial-create-encrypted-storage-accounts.md	11	0
59	azure-resource-manager	articles/azure-resource-manager/resource-manager-tutorial-create-templates-with-dependent-resources.md	7	0
60	azure-resource-manager	articles/azure-resource-manager/resource-manager-update.md	2	0
61	azure-resource-manager	articles/azure-resource-manager/templates-cloud-consistency.md	3	0
62	azure-resource-manager	articles/azure-resource-manager/vs-azure-tools-resource-groups-deployment-projects-create-deploy.md	32	0
63	container-registry	articles/container-registry/container-registry-authentication.md	1	0
64	container-registry	articles/container-registry/container-registry-best-practices.md	2	0
65	container-registry	articles/container-registry/container-registry-content-trust.md	3	0
66	container-registry	articles/container-registry/container-registry-delete.md	1	0
67	container-registry	articles/container-registry/container-registry-event-grid-quickstart.md	3	0
68	container-registry	articles/container-registry/container-registry-geo-replication.md	6	0
69	container-registry	articles/container-registry/container-registry-get-started-azure-cli.md	1	0
70	container-registry	articles/container-registry/container-registry-get-started-docker-cli.md	1	0
71	container-registry	articles/container-registry/container-registry-get-started-portal.md	15	0
72	container-registry	articles/container-registry/container-registry-get-started-powershell.md	1	0
73	container-registry	articles/container-registry/container-registry-repositories.md	1	0
74	container-registry	articles/container-registry/container-registry-skus.md	1	0
75	container-registry	articles/container-registry/container-registry-tutorial-base-image-update.md	2	0
76	container-registry	articles/container-registry/container-registry-tutorial-build-tasks.md	2	0
77	container-registry	articles/container-registry/container-registry-tutorial-deploy-app.md	9	0
78	container-registry	articles/container-registry/container-registry-tutorial-deploy-update.md	5	0
79	container-registry	articles/container-registry/container-registry-tutorial-prepare-registry.md	7	0
80	container-registry	articles/container-registry/container-registry-tutorial-quick-build.md	2	0
81	container-registry	articles/container-registry/container-registry-upgrade.md	4	0
82	container-registry	articles/container-registry/container-registry-webhook.md	2	0
83	container-registry	articles/container-registry/index.md	8	0
84	cosmos-db	articles/cosmos-db/20-days-of-tips.md	5	0
85	cosmos-db	articles/cosmos-db/bulk-executor-overview.md	1	0
86	cosmos-db	articles/cosmos-db/cassandra-import-data.md	1	0
87	cosmos-db	articles/cosmos-db/cassandra-introduction.md	2	0
88	cosmos-db	articles/cosmos-db/change-feed.md	7	0
89	cosmos-db	articles/cosmos-db/change-feed-hl7-fhir-logic-apps.md	8	0
90	cosmos-db	articles/cosmos-db/changefeed-ecommerce-solution.md	8	0
91	cosmos-db	articles/cosmos-db/connect-mongodb-account.md	2	0
92	cosmos-db	articles/cosmos-db/consistency-levels.md	2	0
93	cosmos-db	articles/cosmos-db/create-cassandra-dotnet.md	4	0
94	cosmos-db	articles/cosmos-db/create-cassandra-java.md	3	0
95	cosmos-db	articles/cosmos-db/create-cassandra-nodejs.md	4	0
96	cosmos-db	articles/cosmos-db/create-cassandra-python.md	4	0
97	cosmos-db	articles/cosmos-db/create-graph-dotnet.md	5	0
