**********************Check Process Result(CheckImageByService)**********************
Index	Service	File Path	Total Screenshots	Adapted Screenshots	Image File Name
1	includes	includes/analysis-services-appliesto.md	2	0	
2	includes	includes/cosmos-db-create-collection.md	2	1	azure-cosmosdb-data-explorer.png
3	includes	includes/cosmos-db-create-dbaccount.md	3	1	azure-cosmos-db-create-new-account.png
4	includes	includes/cosmos-db-create-dbaccount-cassandra.md	2	0	
5	includes	includes/cosmos-db-create-dbaccount-graph.md	3	0	
6	includes	includes/cosmos-db-create-dbaccount-mongodb.md	3	0	
7	includes	includes/cosmos-db-create-dbaccount-table.md	3	0	
8	includes	includes/cosmos-db-create-graph.md	1	0	
9	includes	includes/cosmos-db-create-sql-api-add-sample-data.md	2	0	
10	includes	includes/cosmos-db-create-sql-api-query-data.md	2	0	
11	includes	includes/cosmos-db-create-table.md	2	0	
12	includes	includes/cosmos-db-create-table-add-sample-data.md	2	0	
13	includes	includes/cosmos-db-delete-resource-group.md	3	0	
14	includes	includes/cosmos-db-keys.md	1	1	keys.png
15	includes	includes/cosmos-db-tutorial-global-distribution-portal.md	3	0	
16	includes	includes/cosmos-db-tutorial-review-slas.md	2	0	
17	includes	includes/load-balancer-get-started-ilb-scenario-include.md	1	0	
18	includes	includes/load-balancer-get-started-internet-scenario-include.md	1	0	
19	includes	includes/site-recovery-add-configuration-server.md	10	0	
20	includes	includes/site-recovery-add-process-server.md	8	0	
21	includes	includes/site-recovery-add-vcenter.md	1	0	
22	includes	includes/site-recovery-add-vcenter-account.md	2	0	
23	includes	includes/site-recovery-create-vault.md	1	0	
24	includes	includes/site-recovery-install-mob-svc-gui.md	5	0	
25	includes	includes/site-recovery-prepare-push-install-mob-svc-lin.md	1	0	
26	includes	includes/site-recovery-prepare-push-install-mob-svc-win.md	1	0	
27	includes	includes/site-recovery-vmware-register-process-server.md	1	0	
28	includes	includes/site-recovery-vmware-to-azure.md	4	0	
29	includes	includes/site-recovery-vmware-unregister-process-server.md	1	0	
30	includes	includes/virtual-machines-ag-listener-configure.md	7	0	
31	includes	includes/virtual-machines-autoscale.md	3	0	
32	includes	includes/virtual-machines-buy-compute-reservations.md	2	0	
33	includes	includes/virtual-machines-choose-me-content.md	1	0	
34	includes	includes/virtual-machines-classic-recovery-disks-portal.md	4	0	
35	includes	includes/virtual-machines-common-allocation-failure.md	3	0	
36	includes	includes/virtual-machines-common-backup-and-disaster-recovery-for-azure-iaas-disks.md	2	0	
37	includes	includes/virtual-machines-common-boot-diagnostics.md	7	0	
38	includes	includes/virtual-machines-common-classic-configure-availability.md	6	0	
39	includes	includes/virtual-machines-common-classic-connect-vms.md	8	0	
40	includes	includes/virtual-machines-common-classic-create-manage-visual-studio.md	11	0	
41	includes	includes/virtual-machines-common-classic-setup-endpoints.md	8	0	
42	includes	includes/virtual-machines-common-classic-web-app-visual-studio.md	5	0	
43	includes	includes/virtual-machines-common-cli-deploy-templates.md	2	0	
44	includes	includes/virtual-machines-common-create-aad-work-id.md	17	0	
45	includes	includes/virtual-machines-common-endpoints-in-resource-manager.md	4	0	
46	includes	includes/virtual-machines-common-how-to-enable-write-accelerator.md	1	0	
47	includes	includes/virtual-machines-common-infrastructure-service-guidelines.md	8	0	
48	includes	includes/virtual-machines-common-load-balance.md	3	0	
49	includes	includes/virtual-machines-common-manage-availability.md	5	0	
50	includes	includes/virtual-machines-common-move-vm.md	4	0	
51	includes	includes/virtual-machines-common-network-overview.md	1	0	
52	includes	includes/virtual-machines-common-planned-maintenance.md	3	0	
53	includes	includes/virtual-machines-common-portal-create-fqdn.md	12	1	configure-pane.png
54	includes	includes/virtual-machines-common-redeploy-to-new-node.md	5	0	
55	includes	includes/virtual-machines-common-regions-and-availability.md	2	0	
56	includes	includes/virtual-machines-common-scale-sets-visual-studio.md	11	0	
57	includes	includes/virtual-machines-common-states-lifecycle.md	1	0	
58	includes	includes/virtual-machines-common-tag.md	6	0	
59	includes	includes/virtual-machines-common-tag-usage.md	3	0	
60	includes	includes/virtual-machines-common-troubleshoot-app-connection.md	4	0	
61	includes	includes/virtual-machines-linux-tutorial-wordpress.md	1	0	
62	includes	includes/virtual-machines-log-on-win-server.md	2	0	
63	includes	includes/virtual-machines-planned-maintenance-schedule.md	2	0	
64	includes	includes/virtual-machines-security-monitoring.md	10	0	
65	includes	includes/virtual-machines-sql-server-akv-prepare.md	2	0	
66	includes	includes/virtual-machines-sql-server-configure-alwayson-availability-group-listener.md	3	0	
67	includes	includes/virtual-machines-sql-server-connection-steps.md	24	0	
68	includes	includes/virtual-machines-sql-server-connection-tcp-protocol.md	3	0	
69	includes	includes/virtual-machines-sql-server-remote-desktop-connect.md	2	0	
70	includes	includes/virtual-network-create-udr-scenario-include.md	1	0	
71	includes	includes/virtual-network-deploy-multinic-scenario-include.md	1	0	
72	includes	includes/virtual-network-deploy-static-pip-scenario-include.md	1	0	
73	includes	includes/virtual-network-multiple-ip-addresses-scenario.md	1	0	
74	includes	includes/virtual-networks-create-nsg-scenario-include.md	1	0	
75	includes	includes/virtual-networks-create-vnet-arm-pportal-include.md	7	0	
76	includes	includes/virtual-networks-create-vnet-arm-template-click-include.md	5	0	
77	includes	includes/virtual-networks-create-vnet-classic-pportal-include.md	7	0	
78	includes	includes/virtual-networks-create-vnet-scenario-include.md	1	0	
79	includes	includes/virtual-networks-static-ip-scenario-include.md	1	0	
80	analysis-services	articles/analysis-services/analysis-services-addservprinc-admins.md	2	0	
81	analysis-services	articles/analysis-services/analysis-services-alias.md	2	0	
82	analysis-services	articles/analysis-services/analysis-services-async-refresh.md	7	0	
83	analysis-services	articles/analysis-services/analysis-services-backup.md	6	0	
84	analysis-services	articles/analysis-services/analysis-services-compat-level.md	1	0	
